주소,간식빵,샌드위치류,샐러드류,식빵류,신제품,크림빵,파이/패스트리,"피자빵,고로케"
경상남도 거제시,3050.0,7166.7,,5027.3,4600.0,3450.0,2933.3,3116.7
경상남도 거창군,3250.0,7040.0,8400.0,4977.8,4600.0,3233.3,3100.0,2800.0
경상남도 김해시,2990.18,7271.42,8500.0,4966.1,4683.32,3501.02,2933.32,2990.42
경상남도 사천시,2898.35,7094.65,,5114.45,4600.0,3697.5,2900.0,3340.0
경상남도 양산시,2588.87,7170.63,8700.0,5007.27,4600.0,3384.43,2744.43,3222.23
경상남도 진주시,2930.1,7095.0,,5342.15,4766.65,3493.35,3016.65,3365.0
경상남도 창원시,2870.0,7188.1,8300.0,5112.7,4766.65,3537.5,3100.0,3148.35
경상남도 통영시,2900.0,7050.0,8300.0,4925.0,4600.0,3314.3,2933.3,3040.0
경상남도 함안군,2874.6,7050.0,,5066.65,4766.65,3286.65,2966.65,3000.0
부산광역시 금정구,2882.55,7055.6,,5111.1,4600.0,3325.0,2916.65,3065.0
부산광역시 기장군,2785.7,7015.0,,4874.25,4450.0,2832.15,2933.3,2965.0
부산광역시 남구,3354.5,7166.7,,5090.0,4600.0,3525.0,3100.0,3180.0
부산광역시 동래구,3571.4,7166.7,,5245.5,4600.0,3240.0,2933.3,3650.0
부산광역시 부산진구,2890.7,7125.0,8000.0,4618.75,4450.0,3080.0,2933.3,3033.35
부산광역시 사상구,2480.0,7133.3,,4981.8,4600.0,3700.0,3200.0,3025.0
부산광역시 사하구,2755.6,7260.0,,5050.0,4600.0,3700.0,2933.3,3100.0
부산광역시 서구,2836.4,7160.0,8300.0,4972.7,4600.0,3337.5,2933.3,3180.0
부산광역시 수영구,2885.7,7240.0,7400.0,4900.0,4600.0,3760.0,2400.0,2750.0
부산광역시 중구,2950.0,7087.5,8350.0,5043.75,4600.0,3190.5,2866.65,3108.35
부산광역시 해운대구,2990.0,7166.7,8500.0,4888.9,4600.0,3283.3,3300.0,3325.0
